Issue ID,Issue Title,Description,Issue URL,Project,Status,Priority,Component,Version,Created,wcag_sc,ai_wcag,acr_note,dev_note
3545814,Exposed filters with exposed operators are missing accessible names,Exposed filters with exposed operators are missing accessible names,https://www.drupal.org/project/drupal/issues/3545814,drupal,Needs work,Normal,views.module,11.x-dev,3 months 1 week,4.1.2,4.1.2,Users relying on screen readers may be unable to identify and interact with exposed filter options and operators if they lack accessible names. This prevents users from effectively utilizing the filters and contributes to a reduced level of usability for individuals with disabilities.,This issue indicates a lack of proper accessibility labeling of exposed filter controls. The primary solution is to utilize semantic HTML elements to provide context and identify these controls. Specifically:
3542774,The “reduce motion” setting in the operating system should be respected,The “reduce motion” setting in the operating system should be respected,https://www.drupal.org/project/drupal/issues/3542774,drupal,Needs review,Major,navigation.module,11.x-dev,3 months 3 weeks,2.3.3,2.3.3,Users with motion sensitivity may experience discomfort or distraction due to persistent reduce motion effects. The website’s behavior should align with the user’s operating system setting to avoid triggering adverse reactions and ensure a comfortable user experience.,This issue highlights the importance of respecting user preferences for system-level reduce motion.  The core of the solution involves accurately detecting and honoring the operating system’s ‘reduce motion’ setting.
1852090,"Cached forms can have duplicate HTML IDs, which disrupts accessible form labels","Cached forms can have duplicate HTML IDs, which disrupts accessible form labels",https://www.drupal.org/project/drupal/issues/1852090,drupal,Needs work,Major,forms system,11.x-dev,13 years 3 weeks,4.1.2,4.1.2,"Cached forms utilizing duplicate HTML IDs may lead to incorrect association of form labels with their corresponding input fields. This can prevent screen readers from accurately announcing the purpose and value of each field, negatively impacting users with disabilities who rely on screen reader technology for navigation and interaction with web forms.","The core issue is duplicate HTML IDs within a form. This directly violates WCAG 1.3.1 Info and Contrast, as screen readers rely on unique IDs to correctly target and announce form elements. The solution requires a complete review and refactoring of the form’s HTML."
3410598,CKEditor 5: scroll jump after dialog close,CKEditor 5: scroll jump after dialog close,https://www.drupal.org/project/drupal/issues/3410598,drupal,Needs work,Normal,ckeditor5.module,11.x-dev,1 year 12 months,General,General,"Users may experience a jarring visual and potentially keyboard navigation interruption after closing a CKEditor 5 dialog. This can lead to confusion and difficulty continuing to work within the editor, particularly for users reliant on keyboard navigation or those with vestibular sensitivity.","The reported ""scroll jump"" after closing a CKEditor 5 dialog likely stems from a sudden, unmanaged scroll position within the editor's content area. To address this, prioritize the following:"
3415961,[drupalMedia] Using the Insert Media button causes the window to scroll to the bottom of the page,[drupalMedia] Using the Insert Media button causes the window to scroll to the bottom of the page,https://www.drupal.org/project/drupal/issues/3415961,drupal,Needs work,Normal,media system,11.x-dev,1 year 11 months,General,General,"Users attempting to insert media via the “Insert Media” button experience a window scroll to the bottom of the page, potentially disrupting navigation and causing difficulty for users with motor impairments or those relying on screen reader technology to navigate the interface.","This issue likely stems from a conflict in the Drupal Media module’s JavaScript that triggers a scroll event on button click, pushing the viewport to the bottom.  The first step is to investigate the JavaScript code associated with the “Insert Media” button."
3391723,[PLAN] Accessibility review for new Navigation bar,[PLAN] Accessibility review for new Navigation bar,https://www.drupal.org/project/drupal/issues/3391723,drupal,Active,Major,navigation.module,11.x-dev,2 years 2 months,General,General,"The navigation bar lacks sufficient information for users with disabilities to effectively navigate the website. Specifically, the absence of a clear description or alternative text for the navigation items impacts users who rely on screen readers or keyboard navigation. This creates a barrier to accessing information and functionality.","This issue requires a thorough review of the navigation bar’s structure and labeling. The primary focus should be on utilizing semantic HTML elements to define the navigation. Specifically, ensure `<nav>` is used to encapsulate the navigation, and `<navitem>` elements are used for each link. Each link should use the `<a href=""..."">` element with descriptive and concise text that accurately reflects the destination page."
3532392,Add an API for hotkeys to Drupal core,Add an API for hotkeys to Drupal core,https://www.drupal.org/project/drupal/issues/3532392,drupal,Active,Normal,user system,11.x-dev,5 months 3 weeks,2.1.1,2.1.1,Users who rely on keyboard navigation may experience difficulty interacting with Drupal content and functionality if a hotkey API is not implemented. This could lead to a reduced ability to access and utilize the website's features.,"The request for a hotkey API is a valid accessibility consideration. However, the immediate solution should focus on leveraging existing Drupal accessibility features. Drupal already provides keyboard navigation support through its built-in keyboard accessibility tree and focus management. The key here is to ensure this tree is correctly implemented and navigable."
3037446,Forms with required fields marked by asterisk do not have text explaining what the asterisk means,Forms with required fields marked by asterisk do not have text explaining what the asterisk means,https://www.drupal.org/project/drupal/issues/3037446,drupal,Needs review,Normal,forms system,11.x-dev,6 years 9 months,1.3.1,1.3.1,"Users with cognitive disabilities, particularly those who rely on visual cues or have difficulty understanding symbols, may struggle to determine the required nature of form fields marked with asterisks. This lack of clear explanation creates a barrier to successful form completion.","To address this, implement a clear and concise label for each required field that explicitly states the requirement.  Prioritize semantic HTML solutions.  The best practice is to use the `<label>` element associated with each input field, ensuring its `for` attribute matches the input's `id`. For example:"
3438477,High contrast mode needs some more refinement,High contrast mode needs some more refinement,https://www.drupal.org/project/drupal/issues/3438477,drupal,Active,Normal,navigation.module,11.x-dev,1 year 8 months,1.4.11,1.4.11,Users relying on high contrast modes may experience difficulty in reading content due to insufficient color contrast ratios. This impacts usability and potentially violates WCAG success criteria regarding perceivable content.,"This issue report, as stated, lacks specifics regarding the nature of the “refinement” needed in the high contrast mode. To address this, we need detailed information on *what* is not working correctly. However, we can provide general guidance. Firstly, ensure the underlying HTML structure for color adjustments is semantically correct. This likely involves using `<input type=""range"">` for adjusting contrast levels, linked to CSS variables controlling color values.  Avoid using divs or span elements to implement contrast adjustments; use semantic HTML elements for their intended purpose."
3541688,Focus does not move to submenu when opened by enter or space key,Focus does not move to submenu when opened by enter or space key,https://www.drupal.org/project/drupal/issues/3541688,drupal,Active,Normal,navigation.module,11.x-dev,4 months 2 days,2.1.1,2.1.1,"Users attempting to navigate a website using keyboard-only input methods (specifically, the Enter or Space key) may be unable to access submenu options. This prevents keyboard users from utilizing the standard keyboard interaction pattern for navigating hierarchical menus, creating a barrier to accessing content.",This issue likely stems from a lack of proper focus management when opening submenus via keyboard. The following steps should be taken:
2922435,"""Add new comment"" and ""@count comments"" links are not following accessibility good practices","""Add new comment"" and ""@count comments"" links are not following accessibility good practices",https://www.drupal.org/project/drupal/issues/2922435,drupal,Needs work,Normal,comment.module,11.x-dev,8 years 1 month,2.4.4,2.4.4,"Users relying on screen readers may experience difficulty identifying and navigating the “Add new comment” and ""@count comments"" links due to a lack of descriptive link text and appropriate ARIA attributes. This can lead to confusion and an inability to fully participate in the site’s commenting functionality.","The issue describes a potential lack of accessibility in link text and ARIA attributes for the “Add new comment” and ""@count comments"" links. To address this, prioritize the following:"
3331158,Support full-screen editing in CKEditor,Support full-screen editing in CKEditor,https://www.drupal.org/project/drupal/issues/3331158,drupal,Reviewed & tested by the community,Major,ckeditor5.module,11.x-dev,2 years 11 months,3.3.6,3.3.6,Users who require keyboard-only navigation or screen reader assistance may find full-screen editing in CKEditor inaccessible. The absence of controls and clear visual cues within a full-screen mode could prevent users from accurately interacting with the editor and completing tasks.,"This issue relates to the design and implementation of a full-screen editing mode within CKEditor. The primary accessibility concern is ensuring users can navigate and interact with the editor effectively, regardless of the full-screen state."
3443571,Mobile version of Navigation should have focus trap,Mobile version of Navigation should have focus trap,https://www.drupal.org/project/drupal/issues/3443571,drupal,Needs work,Major,navigation.module,11.x-dev,1 year 7 months,2.4.11,2.4.11,"Users with motor impairments who rely on keyboard navigation may be unable to access navigation elements on the mobile version of the site if the focus does not remain trapped within the navigation area. This prevents users from easily navigating the site using only the keyboard, creating a barrier to accessing content and functionality.","The request for a ""focus trap"" on the mobile navigation suggests the need to ensure keyboard focus remains within the navigation menu when the user interacts with it.  This is a common accessibility requirement. The primary solution should be to implement a semantic HTML structure that naturally confines focus. Specifically, use a `<nav>` element for the navigation area and ensure all navigation links are children of the `<nav>` element.  This will often achieve the desired effect."
3541728,Submenu opened with hover does not close by Escape key when another menu item has focus,Submenu opened with hover does not close by Escape key when another menu item has focus,https://www.drupal.org/project/drupal/issues/3541728,drupal,Active,Major,navigation.module,11.x-dev,4 months 2 days,2.1.1,2.1.1,"Users attempting to close a hover-opened submenu using the Escape key may be prevented from doing so when another menu item has keyboard focus. This creates a barrier for keyboard-only users, hindering their ability to navigate the interface and potentially leading to frustration and exclusion.",This issue relates to the correct handling of keyboard focus within a hover-opened submenu. The current behavior likely stems from the focus not being correctly released when the submenu is closed. Here’s a prioritized approach to resolving it:
3541910,Elements in closed sidebar are focusable,Elements in closed sidebar are focusable,https://www.drupal.org/project/drupal/issues/3541910,drupal,Needs work,Major,navigation.module,11.x-dev,4 months 1 day,2.1.1,2.1.1,Users relying on keyboard navigation may be able to unexpectedly activate elements within a closed sidebar. This can disrupt the user’s flow and potentially lead to unintended actions or a confusing user experience.,"The reported issue indicates that elements within a closed sidebar are inadvertently focusable. This violates WCAG 2.2 guidelines regarding focus management. The primary solution is to ensure that elements within a closed sidebar are not focusable. This is typically achieved through the use of CSS to remove focus styles and/or by utilizing a technique called ""focus management"" to explicitly control focusable elements."
2942404,Messages should have role=status instead of role=contentinfo,Messages should have role=status instead of role=contentinfo,https://www.drupal.org/project/drupal/issues/2942404,drupal,Needs work,Normal,markup,11.x-dev,7 years 10 months,1.3.1,1.3.1,"Users relying on screen readers may experience difficulty identifying the status of messages if the `role=""status""` attribute is not correctly applied. The current use of `role=""contentinfo""` does not adequately convey the semantic meaning of a status update within a messaging context, potentially leading to confusion for users who rely on screen reader interpretation.","The issue describes a semantic correction. Messages typically represent status updates, which should be identified as such with the appropriate ARIA role.  The `role=""status""` attribute is designed specifically for elements that convey status information."
3073895,"System Menu blocks placed via Layout Builder can generate duplicate, invalid HTML ID attributes","System Menu blocks placed via Layout Builder can generate duplicate, invalid HTML ID attributes",https://www.drupal.org/project/drupal/issues/3073895,drupal,Needs work,Normal,layout_builder.module,11.x-dev,6 years 4 months,General,General,"System Menu blocks used within Layout Builder may generate HTML IDs that are duplicated or invalid, potentially leading to focus issues for keyboard users and screen reader navigation difficulties. This could impact the ability of users with disabilities to access and interact with the system effectively.",This issue relates to potential ID attribute conflicts when using System Menu blocks within Layout Builder. The core problem is likely the Layout Builder's interaction with the System Menu block’s internal ID generation. The recommended approach is to restructure the layout to avoid direct ID assignment to System Menu blocks.
1484174,Add HTML5 element: <progress>,Add HTML5 element: <progress>,https://www.drupal.org/project/drupal/issues/1484174,drupal,Needs work,Normal,forms system,11.x-dev,13 years 9 months,General,General,Users may experience a lack of visual feedback regarding task progress if the <progress> element is not implemented correctly. The absence of a standard progress indicator can hinder a user's understanding of the completion status of a task or operation.,The request to “add” the `<progress>` element indicates a need to represent the progress of an asynchronous operation or task. The `<progress>` element provides built-in semantic meaning for representing progress.  Implement the `<progress>` element with a `value` attribute representing the current progress (0-100) and a `max` attribute defining the total value.  Ensure sufficient color contrast between the progress bar and its background for users with low vision.  For example:
2293803,Replace confirm password element with a new element that allows toggling to view the typed password,Replace confirm password element with a new element that allows toggling to view the typed password,https://www.drupal.org/project/drupal/issues/2293803,drupal,Needs work,Normal,forms system,11.x-dev,11 years 5 months,General,General,Users may experience difficulty verifying password accuracy due to the lack of a visible password input field. This hinders the ability to confirm typed characters and could lead to errors during the registration or login process.,"This issue proposes a toggle to reveal the typed password within the confirmation field. While providing visual confirmation can be beneficial, it’s crucial to prioritize accessibility best practices. The core issue is a lack of direct visibility into the typed password."
3559128,Cannot tab to CKEditor5 toolbar,Cannot tab to CKEditor5 toolbar,https://www.drupal.org/project/drupal/issues/3559128,drupal,Active,Normal,ckeditor5.module,11.x-dev,3 weeks 6 days,General,General,"Users with disabilities who rely on keyboard navigation may be unable to access the CKEditor5 toolbar, preventing them from using all editor features. This impacts the user's ability to fully utilize the web application.",
3427039,Provide new AccessibilityHelp toolbar item in CKEditor 5 >=41.2,Provide new AccessibilityHelp toolbar item in CKEditor 5 >=41.2,https://www.drupal.org/project/drupal/issues/3427039,drupal,Needs work,Major,ckeditor5.module,11.x-dev,1 year 9 months,General,General,"Users requiring assistance with editing content in CKEditor 5 may be unable to easily utilize accessibility features due to the absence of a dedicated toolbar item. This limits their ability to proactively address accessibility concerns during the writing process, potentially leading to non-compliant content.","This request proposes adding an AccessibilityHelp toolbar item to CKEditor 5 >= 41.2.  The ideal solution prioritizes leveraging CKEditor 5’s existing features.  Specifically, investigate if existing CKEditor 5 settings and extensions provide access to accessibility checks and feedback.  If not, consider integrating a JavaScript library designed to perform accessibility checks and displaying results inline.  When using ARIA, ensure the toolbar item itself is correctly labeled and offers a clear indication of its function.  A minimal implementation would involve a toolbar button that, when clicked, displays a modal dialog or inline message offering guidance on common accessibility issues and CKEditor 5’s accessibility settings.  Focus on providing actionable advice rather than simply stating “check for accessibility.” Consider leveraging CKEditor 5’s already existing context menu for these items. Refer to CKEditor 5 documentation and WAI-ARIA 1.2 for best practices regarding accessible toolbar items."
3396174,The toolbar should be usable without JS,The toolbar should be usable without JS,https://www.drupal.org/project/drupal/issues/3396174,drupal,Needs work,Normal,navigation.module,11.x-dev,2 years 1 month,General,General,"Users who rely on assistive technology, such as screen readers, may experience difficulty interacting with the toolbar if it relies solely on JavaScript. The lack of a persistent, accessible alternative without JavaScript could prevent users from effectively navigating and using the website’s functionality.","The issue description – “The toolbar should be usable without JS” – is insufficiently specific.  The core accessibility barrier is the potential reliance of the toolbar’s functionality on JavaScript, which can create a screen reader navigation issue.  The first step is to assess the toolbar’s current implementation."
2608212,Elements on grouped exposed filters configuration form are missing accessible names,Elements on grouped exposed filters configuration form are missing accessible names,https://www.drupal.org/project/drupal/issues/2608212,drupal,Needs review,Normal,views_ui.module,11.x-dev,10 years 1 month,3.3.2,3.3.2,"Users relying on screen readers may be unable to identify and interact with the elements within the grouped exposed filters configuration form due to the absence of accessible names. This impacts the ability to navigate the form, understand filter options, and complete tasks relying on these filters.","This issue indicates a lack of proper accessibility implementation on the grouped exposed filters configuration form. The primary solution is to ensure that all interactive elements within the group – including buttons, dropdowns, and text fields – have correctly associated `aria-label` attributes or are appropriately labeled using semantic HTML."
3232414,Image Media thumbnail alt text cannot be changed without reuploading the image,Image Media thumbnail alt text cannot be changed without reuploading the image,https://www.drupal.org/project/drupal/issues/3232414,drupal,Needs work,Normal,media system,11.x-dev,4 years 3 months,1.1.1,1.1.1,Users relying on screen readers may be unable to accurately describe images displayed as thumbnails due to the inability to modify the associated alternative text. This creates a barrier to understanding the content and effectively utilizing the image media.,The reported issue indicates a restriction in the ability to edit the `alt` text for image thumbnails within the Image Media component. This is a significant accessibility barrier as `alt` text is crucial for screen reader users to understand the content of the thumbnail.
2917777,"Improvements to the styling, grouping, etc. of the Layout Builder UI actions form","Improvements to the styling, grouping, etc. of the Layout Builder UI actions form",https://www.drupal.org/project/drupal/issues/2917777,drupal,Active,Major,layout_builder.module,11.x-dev,8 years 2 months,4.1.2,4.1.2,"Users may experience difficulty understanding and interacting with the Layout Builder UI actions form due to unclear styling and grouping. This can lead to confusion and frustration, potentially hindering the ability to effectively build and manage layouts.",This issue reports a need for improved styling and grouping within the Layout Builder UI actions form. The primary focus should be on utilizing semantic HTML to structure the form logically and provide clear visual cues to users.
3042984,template_preprocess_username fails to set language attribute,template_preprocess_username fails to set language attribute,https://www.drupal.org/project/drupal/issues/3042984,drupal,Needs work,Normal,user.module,11.x-dev,6 years 9 months,3.1.2,3.1.2,Users relying on screen readers may experience an inability to correctly identify the language of the displayed content if the username template does not include the appropriate language attribute. This potentially impacts understanding of the content and the user’s ability to tailor the interface to their preferred language.,"The issue report indicates a failure to set the language attribute within the `template_preprocess_username` function. This function is responsible for preparing the username data for display within the template. The correct approach is to ensure that the language code is correctly passed to the template engine and then rendered into the username display.  Specifically, Drupal's template system allows for the inclusion of the `lang` attribute directly within the HTML.  The `template_preprocess_username` function should be modified to include this attribute within the generated HTML."
2359711,"Improve Error Message of ""Authored By""","Improve Error Message of ""Authored By""",https://www.drupal.org/project/drupal/issues/2359711,drupal,Postponed (maintainer needs more info),Normal,user.module,11.x-dev,11 years 2 months,General,General,"Users attempting to utilize the ""Authored By"" functionality may encounter a confusing or inaccessible error message. The current issue description lacks specifics about the error message itself, making it impossible to determine the exact accessibility barrier. Further investigation is required to understand the message content, presentation, and how it interacts with assistive technologies.","To address this issue, we need to understand the exact content of the ""Authored By"" error message. Assume the message is a plain text notification.  First, ensure the error message is presented within a `<div role=""alert"">` or similar semantically appropriate container.  If the error message contains actionable information (e.g., “Please enter a valid email address”), use a `<label>` element associated with the input field and provide appropriate ARIA attributes if necessary. If the message is purely informational, ensure it is readable and understandable to users with disabilities.  Avoid using flashing or blinking effects, and ensure sufficient color contrast.  If the message requires more complex guidance, consider providing a link to a help page with more detailed instructions. Avoid using ARIA attributes like `aria-live` to announce the error message; use a visually prominent and clearly labeled error indicator instead. Refer to WAI-ARIA 1.2 for proper usage of roles and states."
2968637,Assess the reference to the mousedown event in the base class for render element plugins,Assess the reference to the mousedown event in the base class for render element plugins,https://www.drupal.org/project/drupal/issues/2968637,drupal,Needs work,Normal,ajax system,11.x-dev,7 years 7 months,2.5.2,2.5.2,"The issue description indicates a review of event handling within a base class for render element plugins. Without further context, it’s unclear if this relates to keyboard accessibility or screen reader interactions. It’s possible that the mousedown event handler is not appropriately tied to a navigable element, potentially creating a barrier for keyboard users or screen reader users navigating via keyboard tabs or other assistive technologies.","This issue requires investigation to determine if the mousedown event handler within the base class is correctly associated with a focusable element. The primary focus should be on ensuring keyboard accessibility.  First, verify that the element triggered by the mousedown event is a focusable element (e.g., a button, link, or input field). If it isn’t, add appropriate focus management.  Specifically, consider using `tabindex=""0""` on the element *only* if necessary to bring it into the tab order.  Avoid using `tabindex` unless absolutely required, as it can create accessibility issues if not implemented correctly.  If the event handler is correctly associated with a focusable element, ensure that the associated action provides the appropriate ARIA roles and states to clearly communicate the element’s function to screen reader users. Review the relevant WAI-ARIA documentation (https://www.w3.org/TR/wai-aria-1.2/) for appropriate roles and states.  Prioritize semantic HTML elements for keyboard navigation and screen reader compatibility."
3506339,Selecting a column in a table header by keyboard drops the focus,Selecting a column in a table header by keyboard drops the focus,https://www.drupal.org/project/drupal/issues/3506339,drupal,Active,Normal,forms system,11.x-dev,10 months 1 week,2.4.3,2.4.3,Users attempting to navigate a table using a keyboard may experience unexpected focus shifts when selecting a column header. This impacts the ability to efficiently access and interact with tabular data for individuals who rely on keyboard navigation for accessibility.,This issue likely stems from a table header element not properly focusing on keyboard tab navigation. The primary solution involves ensuring the `<th>` elements are correctly focused when tabbed to.
2158943,Add a native dialog element to deprecate the jQuery UI dialog,Add a native dialog element to deprecate the jQuery UI dialog,https://www.drupal.org/project/drupal/issues/2158943,drupal,Needs work,Critical,javascript,11.x-dev,12 years 2 days,3.2.5,3.2.5,Users relying on screen readers may experience difficulty interacting with the jQuery UI dialog if it is replaced with a non-accessible native dialog element. The lack of native semantic structure and ARIA attributes could create a barrier to accessing the dialog's content and functionality.,"The goal is to replace the jQuery UI dialog with a native `<dialog>` element. This provides inherent accessibility benefits, including keyboard navigation, focus management, and screen reader support."
2934405,[META] Improve workflows for image alternative text,[META] Improve workflows for image alternative text,https://www.drupal.org/project/drupal/issues/2934405,drupal,Active,Normal,image system,11.x-dev,7 years 11 months,General,General,"Users relying on screen readers may encounter difficulty accessing content conveyed through images if alternative text is missing or inadequate. This creates a barrier to understanding and full participation in the website’s functionality, potentially impacting usability and overall user experience.","The issue title, ""Improve workflows for image alternative text,"" is too broad. The actionable step is to ensure *every* image has a descriptive and meaningful alternative text attribute."
3550888,Missing accessible legend for required field indicator in node forms,Missing accessible legend for required field indicator in node forms,https://www.drupal.org/project/drupal/issues/3550888,drupal,Needs work,Normal,field system,11.x-dev,2 months 1 week,General,General,Users relying on screen reader technology may be unable to identify required fields within node forms due to the absence of an accessible legend accompanying the required field indicator. This creates a barrier to completing forms and accessing information accurately.,"The issue describes a missing accessible label for required field indicators within forms. To address this, implement the following:"
3053145,Allow layout builder sections to be nested.,Allow layout builder sections to be nested.,https://www.drupal.org/project/drupal/issues/3053145,drupal,Active,Normal,layout_builder.module,11.x-dev,6 years 7 months,2.4.3,2.4.3,"Users relying on assistive technologies, such as screen readers, may experience difficulty navigating and understanding content when layout builder sections are nested deeply. This limitation restricts the ability to effectively traverse the page structure and identify related content, potentially leading to confusion and reduced usability for individuals with disabilities.","The issue of nested layout builder sections presents a significant accessibility challenge. The primary focus should be on utilizing semantic HTML to establish a clear and navigable document structure.  Specifically, use `<header>`, `<nav>`, `<main>`, and `<footer>` elements to define the primary content areas and their relationships.  If nesting is required, consider utilizing a single, main `<main>` element with child `<section>` elements for logical grouping. Avoid deeply nested structures – aim for a maximum of three levels of nesting."
